OrderID,OrderDate,Country,ProductCategory,Model,Gender,Size,SalesChannel,Quantity,UnitPrice,DiscountPercent,Revenue
1,2025-06-23,USA,Running,Air Zoom Pegasus,Men,8,Retail Store,3,14867,0,44601.0
2,2025-12-05,India,Basketball,Air Jordan 1,Women,10,Retail Store,2,13472,0,26944.0
3,2024-07-12,USA,Lifestyle,Air Force 1,Women,11,Retail Store,1,14055,20,11244.0
4,2024-03-22,UK,Lifestyle,Air Force 1,Unisex,8,Online,1,12808,10,11527.2
5,2025-03-13,Germany,Basketball,Air Jordan 1,Women,8,Online,3,11446,0,34338.0
6,2025-08-30,India,Training,Free Metcon,Women,8,Retail Store,2,7677,5,14586.3
7,2024-09-12,USA,Lifestyle,Air Max 90,Unisex,6,Retail Store,1,5409,0,5409.0
8,2025-03-29,Germany,Training,Free Metcon,Women,10,Retail Store,2,5721,0,11442.0
9,2025-05-17,India,Lifestyle,Blazer Mid,Men,7,Retail Store,3,8953,15,22830.15
10,2024-11-09,India,Training,Air Zoom TR,Men,11,Retail Store,2,5244,10,9439.2
11,2025-10-29,India,Training,Free Metcon,Men,10,Retail Store,2,5306,5,10081.4
12,2025-08-31,India,Lifestyle,Air Max 90,Men,10,Retail Store,3,4496,15,11464.8
13,2024-12-06,USA,Lifestyle,Air Force 1,Women,8,Online,3,4909,20,11781.6
14,2024-08-03,Germany,Training,Metcon 9,Men,6,Retail Store,2,10236,0,20472.0
15,2024-10-28,USA,Lifestyle,Blazer Mid,Unisex,7,Retail Store,3,6784,0,20352.0
16,2024-11-29,Germany,Running,Air Zoom Alphafly,Men,6,Retail Store,2,13407,15,22791.9
17,2025-05-31,USA,Running,Air Zoom Pegasus,Women,6,Online,3,4780,15,12189.0
18,2025-11-06,Germany,Running,React Infinity Run,Men,8,Online,2,5403,10,9725.4
19,2025-03-20,Germany,Running,React Infinity Run,Unisex,7,Online,1,14839,10,13355.1
20,2025-11-14,Germany,Training,Free Metcon,Men,11,Retail Store,3,13230,5,37705.5
21,2025-02-08,UK,Running,React Infinity Run,Unisex,7,Online,1,7003,0,7003.0
22,2024-10-24,UK,Running,Air Zoom Alphafly,Men,8,Retail Store,1,7088,15,6024.8
